,Annual
1990,118.66819496432812
1991,119.2241766822075
1992,109.86825868350664
1993,110.8782927660558
1994,117.1886752074378
1995,119.03925036434822
1996,130.105108766543
1997,132.11470727606073
1998,130.85108180378927
1999,138.46397191895193
2000,143.97001553173453
2001,130.46381908053712
2002,133.913710588677
2003,131.10629300579546
2004,138.94109218237614
2005,131.0730792574083
2006,140.4220702455717
2007,139.3843103008938
2008,141.40435800988817
2009,145.44492032087743
2010,142.61990992700504
2011,156.07057660287362
2012,136.23028174446307
2013,134.9408749830802
2014,141.0823531095822
2015,135.26756447411708
2016,127.01540459055916
2017,139.6456147963135
2018,139.9289048689827
2019,135.75589017523288
