,Annual
1990,96.94432316959592
1991,96.45055574109972
1992,88.28811312602534
1993,91.99426657883744
1994,94.0980830698304
1995,90.28790631642704
1996,96.98777328906476
1997,104.22653232254667
1998,100.36226335609972
1999,103.71609866494153
2000,108.7364679865536
2001,100.6412329512807
2002,100.40114104798272
2003,100.24619827560691
2004,99.89832349621656
2005,102.28259550233795
2006,100.25510401266294
2007,106.2965915593368
2008,110.0797641299892
2009,111.13363362734138
2010,107.63750466647096
2011,113.41482556757116
2012,101.8213542701935
2013,105.20828631752754
2014,111.34671528088955
2015,105.0932356720808
2016,101.51466881396848
2017,106.0975669848248
2018,107.4368584473096
2019,105.25801477417984
