,Annual
1990,78.32606747471814
1991,77.9879927101331
1992,69.19783437633734
1993,76.59825957500618
1994,82.13493786805748
1995,79.15811009210795
1996,85.80688874310357
1997,89.28106970713894
1998,85.27931847866853
1999,90.886216921126
2000,94.3694551829553
2001,82.00957953811952
2002,85.28486697884485
2003,87.0130198237963
2004,85.498851336104
2005,85.41673444446435
2006,86.12810951288427
2007,89.31833856920612
2008,94.86040412376872
2009,90.69991195879366
2010,90.78371913571
2011,94.0403942074062
2012,83.95042886437717
2013,86.03110059484739
2014,87.69859338806054
2015,81.82051496574302
2016,78.78622056110291
