,Annual
1990,105.39805031061414
1991,117.7361006699727
1992,86.6817907673652
1993,96.69889658852227
1994,103.02473949317748
1995,96.54156935173648
1996,104.84681090733616
1997,108.11240885789488
1998,97.76627903470164
1999,107.22991667432066
2000,114.94290979541856
2001,106.70223899420576
2002,107.41079249866256
2003,105.93595650518988
2004,101.65582479160996
2005,99.83432977220563
2006,103.96973208858992
2007,112.8742635602196
2008,115.99399524260588
2009,121.0122335082694
2010,113.2993535836779
2011,129.86799218689094
2012,107.85957170220688
2013,112.30923805652604
2014,110.42338523238875
