,glob,lat_n60,lat_3060n,lat_90s30n
1990,-23.160069221961553,-0.43577173864858515,-4.173887447783713,-11.5681780889382
1991,-23.12979997667989,-0.4534451762018048,-4.09831583576583,-11.228202230708709
1992,-23.049465025985043,-0.40514469466246045,-4.115051200181328,-11.447373083492634
1993,-22.97567475883529,-0.4185666921502877,-3.89636746275441,-11.279032123315337
1994,-23.052951054328013,-0.41454250915680724,-4.0870571410093595,-11.371822360049809
1995,-23.16829304787641,-0.4399808912494421,-4.086399243311886,-11.102764963192785
1996,-22.7701000902117,-0.4176584709189273,-4.012775018253495,-10.993439014197433
1997,-23.12132342328046,-0.4210814657421187,-4.010645706140226,-10.79319968664898
1998,-23.25151227393935,-0.35589072513638487,-3.988391206054052,-11.20069270668398
1999,-22.95035279980448,-0.37236451751426436,-4.186572870273321,-10.61825361501382
2000,-22.880194314294876,-0.3955534946408685,-4.256363139270692,-10.140857985641347
2001,-23.04402785986183,-0.35467760568555484,-4.1731969195429,-10.552179082773
2002,-23.191024522908684,-0.42680204426526624,-4.251755770245326,-11.072324664226834
2003,-23.2144918099317,-0.4365326101508573,-4.152356072957031,-11.102546308138159
2004,-23.216297211555414,-0.4020217715371227,-4.093786766603701,-11.043577945875667
2005,-23.48569819260709,-0.42193453716612,-4.082743843187537,-11.61472268392655
2006,-23.28894542939931,-0.45707715015793066,-4.2979298390395515,-11.001583111060164
2007,-23.33279689601049,-0.43201372819346323,-4.257263180720953,-10.99790752873308
2008,-23.135383235634247,-0.3756943169064065,-4.303003832427803,-10.819063622041895
2009,-23.246730312170467,-0.3716901204023543,-4.0558013719829225,-11.331969947918592
2010,-23.16399794300712,-0.43656163627103617,-3.983574047207691,-10.946697370375679
2011,-23.122112012512204,-0.42807786020915545,-4.163816270940419,-10.729522818802309
2012,-23.343780919524377,-0.39560762187111387,-4.320205014955132,-11.089394121781169
2013,-23.275313826764084,-0.4265635662087437,-3.974680190751574,-11.252704393970358
2014,-23.44414617734312,-0.40989143063120725,-4.1603402282932205,-11.133910202103943
2015,-23.728732767447337,-0.4135802197821032,-4.2764160771583395,-11.667912746401155
2016,-23.802652282876128,-0.4580078575424483,-4.156550231373253,-11.559169477809414
2017,-23.488243720295696,-0.42045896000012345,-4.213285348111356,-11.245609693613108
2018,-23.46837266689664,-0.42797160585850885,-4.1393355379563,-11.16958741960843
2019,-23.610516242097056,-0.42825494515086576,-4.149109651767197,-11.52318463432705
