,Lifetime
1750,7.654716750501849
1751,7.657029342177794
1752,7.659341933853739
1753,7.661654525529684
1754,7.66396711720563
1755,7.666279708881575
1756,7.66859230055752
1757,7.670904892233466
1758,7.6732174839094105
1759,7.675530075585356
1760,7.677842667261301
1761,7.680155258937247
1762,7.682467850613192
1763,7.684780442289137
1764,7.687093033965082
1765,7.689405625641028
1766,7.691718217316973
1767,7.694030808992918
1768,7.696343400668863
1769,7.698655992344809
1770,7.700968584020753
1771,7.703281175696699
1772,7.705593767372643
1773,7.70790635904859
1774,7.710218950724535
1775,7.71253154240048
1776,7.714844134076426
1777,7.71715672575237
1778,7.719469317428316
1779,7.721781909104261
1780,7.724094500780207
1781,7.726407092456151
1782,7.728719684132097
1783,7.731032275808042
1784,7.733344867483987
1785,7.735657459159932
1786,7.7379700508358775
1787,7.740282642511823
1788,7.7425952341877675
1789,7.744907825863714
1790,7.747220417539659
1791,7.749533009215605
1792,7.751845600891549
1793,7.754158192567495
1794,7.75647078424344
1795,7.758783375919385
1796,7.76109596759533
1797,7.763408559271276
1798,7.765721150947221
1799,7.768033742623166
1800,7.770346334299111
1801,7.7726589259750565
1802,7.774971517651001
1803,7.7772841093269465
1804,7.779596701002892
1805,7.781909292678838
1806,7.784221884354783
1807,7.786534476030728
1808,7.788847067706674
1809,7.791159659382619
1810,7.793472251058564
1811,7.795784842734509
1812,7.7980974344104546
1813,7.800410026086399
1814,7.8027226177623445
1815,7.80503520943829
1816,7.807347801114235
1817,7.80966039279018
1818,7.811972984466125
1819,7.814285576142071
1820,7.816598167818015
1821,7.818910759493962
1822,7.821223351169907
1823,7.823535942845853
1824,7.825848534521796
1825,7.828161126197743
1826,7.830473717873688
1827,7.832786309549633
1828,7.835098901225578
1829,7.8374114929015235
1830,7.839724084577469
1831,7.8420366762534135
1832,7.844349267929359
1833,7.846661859605304
1834,7.848974451281249
1835,7.851287042957194
1836,7.853599634633139
1837,7.855912226309086
1838,7.858224817985031
1839,7.860537409660976
1840,7.862850001336922
1841,7.865162593012867
1842,7.867475184688812
1843,7.869787776364757
1844,7.8721003680407025
1845,7.874412959716647
1846,7.8767255513925925
1847,7.879038143068538
1848,7.881350734744483
1849,7.883663326420428
1850,7.885975918096372
1851,7.888192881480348
1852,7.8904098448643225
1853,7.892626808248297
1854,7.894843771632271
1855,7.897060735016245
1856,7.89927769840022
1857,7.901494661784193
1858,7.903711625168168
1859,7.905928588552143
1860,7.908145551936117
1861,7.910362515320092
1862,7.912579478704065
1863,7.91479644208804
1864,7.917013405472014
1865,7.919230368855988
1866,7.921447332239963
1867,7.923664295623937
1868,7.925881259007911
1869,7.928098222391886
1870,7.93031518577586
1871,7.932532149159834
1872,7.934749112543809
1873,7.936966075927783
1874,7.939183039311757
1875,7.941400002695731
1876,7.943616966079706
1877,7.94583392946368
1878,7.948050892847654
1879,7.950267856231629
1880,7.952484819615604
1881,7.954701782999577
1882,7.956918746383552
1883,7.9591357097675255
1884,7.9613526731515005
1885,7.963569636535475
1886,7.965786599919449
1887,7.968003563303424
1888,7.970220526687398
1889,7.972437490071372
1890,7.974654453455346
1891,7.97687141683932
1892,7.979088380223295
1893,7.98130534360727
1894,7.983522306991244
1895,7.985739270375217
1896,7.987956233759193
1897,7.990173197143166
1898,7.992390160527141
1899,7.9946071239111145
1900,7.9968240872950895
1901,7.999041050679065
1902,8.001258014063039
1903,8.003474977447013
1904,8.005691940830987
1905,8.007908904214961
1906,8.010125867598935
1907,8.01234283098291
1908,8.014559794366884
1909,8.01677675775086
1910,8.018993721134832
1911,8.021210684518808
1912,8.02342764790278
1913,8.025644611286756
1914,8.02786157467073
1915,8.030078538054704
1916,8.032295501438679
1917,8.034512464822653
1918,8.036729428206627
1919,8.038946391590601
1920,8.041163354974575
1921,8.043380318358551
1922,8.045597281742523
1923,8.0478142451265
1924,8.050031208510473
1925,8.052248171894448
1926,8.054465135278422
1927,8.056682098662396
1928,8.05889906204637
1929,8.061116025430344
1930,8.06333298881432
1931,8.065549952198293
1932,8.067766915582268
1933,8.06998387896624
1934,8.072200842350217
1935,8.07441780573419
1936,8.076634769118165
1937,8.07885173250214
1938,8.081068695886113
1939,8.083285659270087
1940,8.085502622654062
1941,8.087719586038036
1942,8.089936549422012
1943,8.092153512805986
1944,8.09437047618996
1945,8.096587439573934
1946,8.098804402957908
1947,8.10102136634188
1948,8.103238329725857
1949,8.10545529310983
1950,8.107672256493805
1951,8.105416272862417
1952,8.10316028923103
1953,8.10090430559964
1954,8.098648321968252
1955,8.096392338336862
1956,8.094136354705475
1957,8.091880371074087
1958,8.089624387442697
1959,8.08736840381131
1960,8.085112420179922
1961,8.082856436548532
1962,8.080600452917144
1963,8.078344469285755
1964,8.076088485654367
1965,8.073832502022979
1966,8.07157651839159
1967,8.069320534760202
1968,8.067064551128812
1969,8.064808567497424
1970,8.062552583866037
1971,8.069999601619308
1972,8.07744661937258
1973,8.084893637125852
1974,8.092340654879123
1975,8.099787672632395
1976,8.107234690385669
1977,8.11468170813894
1978,8.122128725892212
1979,8.129575743645484
1980,8.137022761398756
1981,8.13677279094381
1982,8.136522820488867
1983,8.136272850033922
1984,8.13602287957898
1985,8.135772909124036
1986,8.13552293866909
1987,8.135272968214148
1988,8.135022997759203
1989,8.13477302730426
1990,8.134523056849314
1991,8.11994784178082
1992,8.053284318150686
1993,8.015579973972603
1994,8.108944532876713
1995,8.065099543150685
1996,8.123376963013698
1997,8.136663515410959
1998,7.929877208219178
1999,8.091942948972603
2000,8.040951641780822
2001,7.991654860616439
2002,7.983603217465754
2003,7.93186849760274
2004,7.873166337671233
2005,7.799439080479451
2006,7.766179141095891
2007,7.716931976712329
2008,7.754162313013699
2009,7.77672516369863
2010,7.703717440753425
2011,7.70743615650685
2012,7.780225693493151
2013,7.769480747945205
2014,7.792317521575343
2015,7.805693244863014
2016,7.6552109849315055
2017,7.722363154452055
2018,7.735148392273533
2019,7.747933630095011
2020,7.760718867916489
