,Lifetime
1750,6.855077259246575
1751,6.855077259246575
1752,6.855077259246575
1753,6.855077259246575
1754,6.855077259246575
1755,6.855077259246575
1756,6.855077259246575
1757,6.855077259246575
1758,6.855077259246575
1759,6.855077259246575
1760,6.855077259246575
1761,6.855077259246575
1762,6.855077259246575
1763,6.855077259246575
1764,6.855077259246575
1765,6.855077259246575
1766,6.855077259246575
1767,6.855077259246575
1768,6.855077259246575
1769,6.855077259246575
1770,6.855077259246575
1771,6.855077259246575
1772,6.855077259246575
1773,6.855077259246575
1774,6.855077259246575
1775,6.855077259246575
1776,6.855077259246575
1777,6.855077259246575
1778,6.855077259246575
1779,6.855077259246575
1780,6.855077259246575
1781,6.855077259246575
1782,6.855077259246575
1783,6.855077259246575
1784,6.855077259246575
1785,6.855077259246575
1786,6.855077259246575
1787,6.855077259246575
1788,6.855077259246575
1789,6.855077259246575
1790,6.855077259246575
1791,6.855077259246575
1792,6.855077259246575
1793,6.855077259246575
1794,6.855077259246575
1795,6.855077259246575
1796,6.855077259246575
1797,6.855077259246575
1798,6.855077259246575
1799,6.855077259246575
1800,6.855077259246575
1801,6.855077259246575
1802,6.855077259246575
1803,6.855077259246575
1804,6.855077259246575
1805,6.855077259246575
1806,6.855077259246575
1807,6.855077259246575
1808,6.855077259246575
1809,6.855077259246575
1810,6.855077259246575
1811,6.855077259246575
1812,6.855077259246575
1813,6.855077259246575
1814,6.855077259246575
1815,6.855077259246575
1816,6.855077259246575
1817,6.855077259246575
1818,6.855077259246575
1819,6.855077259246575
1820,6.855077259246575
1821,6.855077259246575
1822,6.855077259246575
1823,6.855077259246575
1824,6.855077259246575
1825,6.855077259246575
1826,6.855077259246575
1827,6.855077259246575
1828,6.855077259246575
1829,6.855077259246575
1830,6.855077259246575
1831,6.855077259246575
1832,6.855077259246575
1833,6.855077259246575
1834,6.855077259246575
1835,6.855077259246575
1836,6.855077259246575
1837,6.855077259246575
1838,6.855077259246575
1839,6.855077259246575
1840,6.855077259246575
1841,6.855077259246575
1842,6.855077259246575
1843,6.855077259246575
1844,6.855077259246575
1845,6.855077259246575
1846,6.855077259246575
1847,6.855077259246575
1848,6.855077259246575
1849,6.855077259246575
1850,6.855077259246575
1851,6.855077259246575
1852,6.855077259246575
1853,6.855077259246575
1854,6.855077259246575
1855,6.855077259246575
1856,6.855077259246575
1857,6.855077259246575
1858,6.855077259246575
1859,6.855077259246575
1860,6.855077259246575
1861,6.855077259246575
1862,6.855077259246575
1863,6.855077259246575
1864,6.855077259246575
1865,6.855077259246575
1866,6.855077259246575
1867,6.855077259246575
1868,6.855077259246575
1869,6.855077259246575
1870,6.855077259246575
1871,6.855077259246575
1872,6.855077259246575
1873,6.855077259246575
1874,6.855077259246575
1875,6.855077259246575
1876,6.855077259246575
1877,6.855077259246575
1878,6.855077259246575
1879,6.855077259246575
1880,6.855077259246575
1881,6.855077259246575
1882,6.855077259246575
1883,6.855077259246575
1884,6.855077259246575
1885,6.855077259246575
