,Lifetime
1990,8.134523056849314
1991,8.11994784178082
1992,8.053284318150686
1993,8.015579973972603
1994,8.108944532876713
1995,8.065099543150685
1996,8.123376963013698
1997,8.136663515410959
1998,7.929877208219178
1999,8.091942948972603
2000,8.040951641780822
2001,7.991654860616439
2002,7.983603217465754
2003,7.93186849760274
2004,7.873166337671233
2005,7.799439080479451
2006,7.766179141095891
2007,7.716931976712329
2008,7.754162313013699
2009,7.77672516369863
2010,7.703717440753425
2011,7.70743615650685
2012,7.780225693493151
2013,7.769480747945205
2014,7.792317521575343
2015,7.805693244863014
2016,7.6552109849315055
2017,7.722363154452055
